GLITTER! 4.4 [trunk]: Laser Ablation Analysis Results

Z:\2013\tretiakova_irina\RUN2.B
Created: Wed Dec 04 16:38:55 2013

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STDGJ-03,STDGJ-04,610-02,91500-02,MT-02,INT1-13,INT1-14C,INT1-14R,INT1-15,INT1-16,INT1-17,INT1-18C,INT1-18R,INT1-19,INT1-20,INT1-21C,INT1-21RI,INT1-22C,INT1-22R,STDGJ-05,STDGJ-06
U238,<0.00000,0.00883,0.00848,0.00338,0.00350,0.00296,0.00239,0.00486,0.00399,0.00237,0.582,0.00402,0.00187,0.00444,0.00403,0.00673,0.00488,<0.00000,0.00472,0.00732,0.00465

GLITTER!: Trace element concentrations normalised to chondrite.
Element,STDGJ-03,STDGJ-04,610-02,91500-02,MT-02,INT1-13,INT1-14C,INT1-14R,INT1-15,INT1-16,INT1-17,INT1-18C,INT1-18R,INT1-19,INT1-20,INT1-21C,INT1-21RI,INT1-22C,INT1-22R,STDGJ-05,STDGJ-06
P31,0.0191,0.0192,0.1489,0.00960,0.0201,0.0495,0.0195,0.0141,0.0680,0.0687,15.90,0.1161,0.0880,0.1982,0.0862,0.0818,0.0549,0.0373,0.0552,0.0213,0.0194
Ca43,0.0000,0.0000,6.07,0.0000,0.0000,0.0000,0.0098,0.0000,0.0000,0.0021,1786.94,0.0000,0.0000,0.0790,0.0000,0.0176,0.0088,0.0063,0.0476,0.0000,0.0000
Ti49,0.00985,0.00879,0.728,0.00833,0.00475,0.0148,0.0348,0.00631,0.0226,0.0265,75559.29,0.00989,0.01026,0.01249,0.01101,9.33,0.0263,0.01435,0.0996,0.00883,0.00768
Y89,120.59,120.33,217.78,62.48,123.23,663.70,1028.16,262.32,299.95,317.40,160133.94,565.66,359.60,510.88,576.18,473.14,309.58,164.30,467.77,119.71,119.64
Zr91,107826.98,107671.23,88.45,88195.67,88195.67,88195.67,88195.67,88195.66,88195.67,88195.66,88195.66,88195.67,88195.67,88195.67,88195.67,88195.67,88195.67,88195.67,88195.67,108059.42,107953.20
Zr92,61108.46,61041.97,88.45,50085.57,49948.40,49617.88,49955.39,50180.41,50098.26,49870.94,50562.31,50221.63,50093.88,49909.55,50092.52,50075.16,49966.98,50199.16,50055.75,61440.94,61469.72
Nb93,5.23,5.05,1365.33,2.64,22.98,9.58,140.24,9.17,7.36,13.18,434829.91,11.79,14.05,11.73,10.88,65.97,35.87,10.79,103.73,4.85,5.15
